structure,workload,n,operation,mean,std
BST,reverse,1000,insert,5.15919,0.15201997023417704
BST,reverse,1000,search,4.804034,0.14207550538358138
BST,reverse,5000,insert,149.505,2.5821877352353724
BST,reverse,5000,search,141.71620000000001,2.018521290450022
BST,reverse,10000,insert,581.5237999999999,23.238434912876553
BST,reverse,10000,search,558.8624,5.8787780873239255
BST,reverse,20000,insert,2840.448,262.0430959212626
BST,reverse,20000,search,2447.942,20.136528250917547
BST,sorted,1000,insert,4.928318,0.35243764919486115
BST,sorted,1000,search,4.604636,0.11603818759356803
BST,sorted,5000,insert,134.2014,4.732358111977574
BST,sorted,5000,search,139.084,1.5932430762441667
BST,sorted,10000,insert,550.1268,14.95522915906007
BST,sorted,10000,search,550.5156,5.1918210485339875
BST,sorted,20000,insert,2749.052,203.28159906887788
BST,sorted,20000,search,2774.652,210.46481432771597
BST,uniform,1000,insert,0.0894878,0.015309097579544002
BST,uniform,1000,search,0.0685538,0.009408270388333865
BST,uniform,5000,insert,0.5812383999999999,0.03997974753922289
BST,uniform,5000,search,0.5599488,0.08472855645058514
BST,uniform,10000,insert,1.413982,0.0679801071637873
BST,uniform,10000,search,1.2310240000000001,0.020855250657807987
BST,uniform,20000,insert,3.2910440000000003,0.13131158395206438
BST,uniform,20000,search,2.90638,0.07480375024021207
BTree,reverse,1000,insert,0.39607479999999995,0.03736766881543457
BTree,reverse,1000,search,0.0790016,0.0017551103384118034
BTree,reverse,5000,insert,2.074232,0.14239591907776014
BTree,reverse,5000,search,0.5264808000000001,0.06543628348783267
BTree,reverse,10000,insert,4.205684,0.30626260387125276
BTree,reverse,10000,search,1.0825474,0.07964963558485381
BTree,reverse,20000,insert,9.36355,0.45708465939035897
BTree,reverse,20000,search,2.403578,0.015171450820537792
BTree,sorted,1000,insert,0.364887,0.02489903209966203
BTree,sorted,1000,search,0.0793956,0.003952410441743107
BTree,sorted,5000,insert,2.001144,0.17775760709460506
BTree,sorted,5000,search,0.5094974,0.022224944629852292
BTree,sorted,10000,insert,3.926678,0.23448364094324378
BTree,sorted,10000,search,1.0025336,0.018874440423493274
BTree,sorted,20000,insert,9.509954,0.3092972624838441
BTree,sorted,20000,search,2.59147,0.12065120451118594
BTree,uniform,1000,insert,0.3127494,0.027127322938321798
BTree,uniform,1000,search,0.0926266,0.0015831280112486147
BTree,uniform,5000,insert,1.645736,0.04980004698792962
BTree,uniform,5000,search,0.6415606,0.03324003615822342
BTree,uniform,10000,insert,3.581212,0.13663474108000487
BTree,uniform,10000,search,1.6255960000000003,0.32700288329004074
BTree,uniform,20000,insert,7.62765,0.15739916025824274
BTree,uniform,20000,search,3.188766,0.17231265966260287
vEB,reverse,1000,build,0.0774656,0.007078492798611867
vEB,reverse,1000,search,0.0646384,0.008503099070338999
vEB,reverse,5000,build,0.4825442,0.041037597062937296
vEB,reverse,5000,search,0.3389028,0.003104236411744453
vEB,reverse,10000,build,0.9985958,0.04573420983465223
vEB,reverse,10000,search,0.8338454000000001,0.0500429871090845
vEB,reverse,20000,build,2.388632,0.12255307858230269
vEB,reverse,20000,search,1.865288,0.04114965273243516
vEB,sorted,1000,build,0.0745216,0.0036789177484689755
vEB,sorted,1000,search,0.0573048,0.002530471734677154
vEB,sorted,5000,build,0.4782584,0.022214066721336745
vEB,sorted,5000,search,0.35273879999999996,0.019589744541468626
vEB,sorted,10000,build,1.0053806,0.034407265029350965
vEB,sorted,10000,search,0.769341,0.013594258089355176
vEB,sorted,20000,build,2.536958,0.17986219119092262
vEB,sorted,20000,search,1.948648,0.04775227293019669
vEB,uniform,1000,build,0.089072,0.005015153088391215
vEB,uniform,1000,search,0.093917,0.025286025656476734
vEB,uniform,5000,build,0.49285939999999995,0.034286215047741854
vEB,uniform,5000,search,0.3510408,0.0049564952032661045
vEB,uniform,10000,build,0.9840652000000001,0.06269356557654061
vEB,uniform,10000,search,0.8639682000000001,0.25377035257236025
vEB,uniform,20000,build,2.17577,0.19559993162064243
vEB,uniform,20000,search,1.657594,0.08547056411420251
