structure,workload,n,insert_ms,search_ms
BST,uniform,1000,0.10239,0.067729
BTree,uniform,1000,0.291476,0.111844
BST,sorted,1000,4.80121,4.43578
BTree,sorted,1000,0.369331,0.090127
BST,reverse,1000,5.02283,4.84996
BTree,reverse,1000,0.381632,0.0977476
BST,uniform,5000,0.611787,0.580271
BTree,uniform,5000,1.79938,0.748098
BST,sorted,5000,194.263,262.088
BTree,sorted,5000,3.73233,0.979332
BST,reverse,5000,211.604,162.643
BTree,reverse,5000,2.40896,0.679019
BST,uniform,10000,1.84096,1.61415
BTree,uniform,10000,4.31417,1.9304
BST,sorted,10000,723.875,702.791
BTree,sorted,10000,5.17293,1.42895
BST,reverse,10000,687.11,613.537
BTree,reverse,10000,4.65288,1.2998
BST,uniform,20000,4.02506,3.3665
BTree,uniform,20000,8.38907,4.06717
BST,sorted,20000,2910.98,2675.98
BTree,sorted,20000,9.7933,2.92398
BST,reverse,20000,2832.25,3148.57
BTree,reverse,20000,14.3195,4.15346
