structure,n,memory_bytes
BST,1000,20000
BTree,1000,8000
vEB,1000,4000
BST,5000,100000
BTree,5000,40000
vEB,5000,20000
BST,10000,200000
BTree,10000,80000
vEB,10000,40000
BST,20000,400000
BTree,20000,160000
vEB,20000,80000
BST,50000,1000000
BTree,50000,400000
vEB,50000,200000
BST,100000,2000000
BTree,100000,800000
vEB,100000,400000
BST,200000,4000000
BTree,200000,1600000
vEB,200000,800000
BST,500000,10000000
BTree,500000,4000000
vEB,500000,2000000
BST,1000000,20000000
BTree,1000000,8000000
vEB,1000000,4000000
