structure,workload,n,operation,time_ms,run_id
BST,uniform,1000,insert,0.070402,1
BST,uniform,1000,insert,0.054781,2
BST,uniform,1000,insert,0.045603,3
BST,uniform,1000,search,0.026228,1
BST,uniform,1000,search,0.025213,2
BST,uniform,1000,search,0.019932,3
BTree,uniform,1000,insert,0.107819,1
BTree,uniform,1000,insert,0.094287,2
BTree,uniform,1000,insert,0.095716,3
BTree,uniform,1000,search,0.048002,1
BTree,uniform,1000,search,0.060405,2
BTree,uniform,1000,search,0.067382,3
vEB,uniform,1000,build,0.029446,1
vEB,uniform,1000,build,0.017534,2
vEB,uniform,1000,build,0.016229,3
vEB,uniform,1000,search,0.048699,1
vEB,uniform,1000,search,0.047695,2
vEB,uniform,1000,search,0.045455,3
BST,sorted,1000,insert,3.32029,1
BST,sorted,1000,insert,2.07118,2
BST,sorted,1000,insert,1.83911,3
BST,sorted,1000,search,0.880562,1
BST,sorted,1000,search,0.977607,2
BST,sorted,1000,search,0.845015,3
BTree,sorted,1000,insert,0.080611,1
BTree,sorted,1000,insert,0.087951,2
BTree,sorted,1000,insert,0.104291,3
BTree,sorted,1000,search,0.036599,1
BTree,sorted,1000,search,0.035561,2
BTree,sorted,1000,search,0.031939,3
vEB,sorted,1000,build,0.017313,1
vEB,sorted,1000,build,0.008597,2
vEB,sorted,1000,build,0.008265,3
vEB,sorted,1000,search,0.025611,1
vEB,sorted,1000,search,0.024494,2
vEB,sorted,1000,search,0.023905,3
BST,reverse,1000,insert,3.12373,1
BST,reverse,1000,insert,1.75121,2
BST,reverse,1000,insert,1.8821,3
BST,reverse,1000,search,2.47853,1
BST,reverse,1000,search,2.93481,2
BST,reverse,1000,search,2.74559,3
BTree,reverse,1000,insert,0.261856,1
BTree,reverse,1000,insert,0.251753,2
BTree,reverse,1000,insert,0.345768,3
BTree,reverse,1000,search,0.106061,1
BTree,reverse,1000,search,0.106143,2
BTree,reverse,1000,search,0.098709,3
vEB,reverse,1000,build,0.049728,1
vEB,reverse,1000,build,0.045555,2
vEB,reverse,1000,build,0.028932,3
vEB,reverse,1000,search,0.088108,1
vEB,reverse,1000,search,0.086257,2
vEB,reverse,1000,search,0.083372,3
BST,zipfian,1000,insert,0.243278,1
BST,zipfian,1000,insert,0.095261,2
BST,zipfian,1000,insert,0.058032,3
BST,zipfian,1000,search,0.019447,1
BST,zipfian,1000,search,0.017863,2
BST,zipfian,1000,search,0.013706,3
BTree,zipfian,1000,insert,0.111636,1
BTree,zipfian,1000,insert,0.100308,2
BTree,zipfian,1000,insert,0.091754,3
BTree,zipfian,1000,search,0.029951,1
BTree,zipfian,1000,search,0.022463,2
BTree,zipfian,1000,search,0.017282,3
vEB,zipfian,1000,build,0.02048,1
vEB,zipfian,1000,build,0.010884,2
vEB,zipfian,1000,build,0.009673,3
vEB,zipfian,1000,search,0.013488,1
vEB,zipfian,1000,search,0.012056,2
vEB,zipfian,1000,search,0.011117,3
BST,uniform,5000,insert,0.383027,1
BST,uniform,5000,insert,0.340326,2
BST,uniform,5000,insert,0.478047,3
BST,uniform,5000,search,0.208424,1
BST,uniform,5000,search,0.209991,2
BST,uniform,5000,search,0.20277,3
BTree,uniform,5000,insert,0.720246,1
BTree,uniform,5000,insert,0.57094,2
BTree,uniform,5000,insert,0.567626,3
BTree,uniform,5000,search,0.712014,1
BTree,uniform,5000,search,0.42826,2
BTree,uniform,5000,search,0.416582,3
vEB,uniform,5000,build,0.114746,1
vEB,uniform,5000,build,0.063452,2
vEB,uniform,5000,build,0.063337,3
vEB,uniform,5000,search,0.219799,1
vEB,uniform,5000,search,0.217806,2
